outreview,outtitle,label
"['need', 'somethinghelp', 'yourselfall', 'princesses', 'too', 'busy', 'putting', 'make', 'faces']","['boylston', 'street', 'location', 'worst', 'oneevery', 'time', 'come', 'like', 'jokewhats', 'point', 'vib', 'card', 'whatever', 'points', 'whole', 'store', 'screaming', '20', 'off', 'cashier', 'innocent', 'face', 'still', 'charges', 'full', 'price', 'blames', 'faultyou', 'remind', 'themand', 'funny', 'thing', 'isthey', 'cant', 'find', 'shit', 'storeso', 'look', 'yourselfand', 'works']",0.0
"['people', 'working', 'location', 'nice', 'helpful', 'not', 'like', 'rest', 'retail', 'stuff', 'mall', 'annoying', 'like', 'totally', 'love']","['favorite', 'place', 'favorite', 'store']",1.0
"['customer', 'service', 'crazy', 'goodi', 'came', 'buy', 'travel', 'sized', 'facial', 'moisturizer', 'one', 'packed', 'made', 'skin', 'bright', 'red', 'skincare', 'sales', 'person', 'recommended', 'product', 'would', 'calm', 'skin', 'but', 'came', 'large', 'expensive', 'size', 'told', 'needed', 'days', 'would', 'go', 'back', 'regular', 'products', 'home', 'made', '2', 'samples', 'moisturizer', 'totally', 'terrifici', 'would', 'recommend', 'store', 'anyone', 'lives', 'close']","['terrific', 'sephora']",1.0
"['bought', 'facial', 'toning', 'device', '10', 'months', 'ago', 'kept', 'putting', 'off', 'trying', 'read', 'could', 'cause', 'broken', 'capillaries', 'people', 'prone', 'might', 'not', 'interact', 'well', 'botox', 'got', 'treatment', 'dive', 'broken', 'capillaries', 'plus', 'use', 'botox', 'worried', 'plus', 'thought', 'probably', 'foolish', 'buy', 'first', 'place', 'expensive', 'decided', 'see', 'could', 'return', 'afraid', 'people', 'would', 'think', 'jerk', 'trying', 'return', 'something', 'long', 'time', 'but', 'cashier', 'nice', 'got', 'money', 'back', 'think', 'awesome', 'another', 'thing', 'like', 'sephora', 'makeup', 'artists', 'not', 'work', 'commission', 'no', 'incentive', 'try', 'sell', 'particular', 'productthank', 'sephora', 'keep', 'coming', 'back']","['sephora', 'rocks']",1.0
"['several', 'times', 'store', 'upwards', '20', 'minutes', 'without', 'offered', 'help', 'unless', 'black', 'employee', 'however', 'im', 'caught', 'something', 'wrong', 'like', 'checking', 'product', 'make', 'sure', 'hasnt', 'used', 'purchase', 'suddenly', 'exist', 'white', 'employees', 'sprint', 'reprimand', 'today', 'store', 'saw', 'interesting', 'packaging', 'wanted', 'take', 'picture', 'christian', 'louboutin', 'nail', 'polish', 'took', 'phone', 'snapped', 'pic', 'prior', 'no', 'one', 'spoke', 'word', 'offered', 'help', 'store', 'least', '15', 'minutes', 'took', 'pic', 'employee', 'ran', 'literally', 'ran', 'said', 'sorry', 'arent', 'allow', 'take', 'pictures', 'products', 'store', 'ummm', 'ok', 'weird', 'rule', 'but', 'whatever', 'problem', 'never', 'saw', 'employee', 'say', 'anything', 'white', 'teeny', 'boppers', 'feet', 'away', 'snapchatting', 'away', 'sephoras', 'motto', 'black', 'girls', 'seems', 'following', 'ignore', 'dont', 'offer', 'help', 'but', 'eyes', 'ears', 'something', 'dont', 'approve', 'hmmmm', 'ok', 'short', 'place', 'full', 'racist', 'trash', 'dont', 'deserve', 'money']","['youre', 'not', 'white', 'dont', 'shop', 'hereemployees', 'severe', 'racial', 'biases']",0.0
"['missing', 'samples', 'empty', 'samples', 'obviously', 'dont', 'update', 'fix', 'stuff', 'place', 'crowded', 'didnt', 'get', 'greater', 'staff', 'stand', 'together', 'clusters', 'talk', 'dont', 'help', 'anyone', 'phones', 'cashier', 'lady', 'didnt', 'even', 'ask', 'card', 'quickly', 'rung', 'stuff', 'like', 'heres', 'sephora', 'card', 'like', 'ohhh', 'already', 'transactionwell', 'finally', 'used', 'card', 'place', 'packed', 'busy', 'thought', 'would', 'common', 'sense', 'ask', 'sephora', 'card', 'stay', 'away', 'horrible']","['first', 'time', 'going', 'excited', 'online', 'said', 'wanted', 'stock', 'but', 'didnt']",0.0
"['couple', 'workers', 'busy', 'totally', 'understand', 'but', 'least', '5', 'people', 'ignored', 'even', 'asked', 'politely', 'help', 'left', 'nothing']","['went', 'location', 'pru', 'specifically', 'buy', 'ton', 'makeup', 'wouldve', '100', 'but', 'dont', 'know', 'much', 'brandsmy', 'skin', 'tone', 'looking', 'someone', 'help']",0.0
"['went', 'tuesday', 'day', 'wasnt', 'busy', 'great', 'staff', 'really', 'sweet', 'woman', 'asked', 'help', 'find', 'concealer', 'actually', 'discovered', 'root', 'problem', 'not', 'using', 'eye', 'cream', 'showed', 'one', 'uses', 'gave', 'sample', 'helpful', 'wanted', 'give', 'hug', 'minor', 'downfall', 'awkwardly', 'looking', 'somebody', 'help', 'among', '10', 'staff', 'walking', 'around', 'little', 'interrupted', 'somebody', 'upfront', 'would', 'nice', 'someone', 'notice', 'offer', 'help', 'however', 'dont', 'want', 'help', 'hate', 'bothered', 'goes', 'either', 'way']","['experience', 'sephora', 'like', 'starbucks', 'different', 'every', 'time', 'depending', 'number', 'factors']",1.0
"['wonderful', 'staff', 'vast', 'selection', 'neat', 'well', 'stocked']","['best', 'sephora', 'ever']",1.0
"['stopped', 'check', 'new', 'fenty', 'beauty', 'line', 'test', 'foundations', 'lines', 'however', 'disappointing', 'experience', 'usual', 'store', 'others', 'noted', 'crowded', 'lots', 'missing', 'testers', 'ones', 'needed', 'missing', 'course', 'applicator', 'stations', 'difficult', 'find', 'sparse', 'overflowing', 'used', 'applicators', 'spilling', 'onto', 'floor', 'trash', 'feel', 'like', 'sephora', 'used', 'lot', 'more', 'stations', 'first', 'opened', 'abundance', 'employees', 'standing', 'around', 'aka', 'poor', 'customer', 'service', 'appeared', 'well', '15', 'employees', 'floor', 'definitely', 'hustlin', 'customers', 'majority', 'standing', 'clusters', '23', 'chatting', 'perplexing', 'since', 'testers', 'could', 'replenished', 'testing', 'stations', 'could', 'cleaned', 'customers', 'like', 'need', 'help', 'clear', 'wandering', 'around', 'aimlessly', 'could', 'approached', 'know', 'exactly', 'need', 'dont', 'need', 'help', 'come', 'anytime', 'but', 'need', 'help', 'dont', 'like', 'crowds', 'go', 'first', 'open', 'towards', 'closing']","['yesterday', 'around', '3pm']",0.0
