outreview,outtitle,label
"['private', 'karaoke', 'rooms', 'most', 'know', 'ideal', 'get', 'comfortable', 'reveal', 'inner', 'diva', 'friends', 'song', 'selections', 'date', 'well', 'along', 'classics', 'service', 'fast', 'friendly', 'convenient', 'place', 'order', 'room', 'via', 'telephone', 'cant', 'comment', 'much', 'food', 'but', 'rolls', 'french', 'fries', 'good', 'cold', 'sapporo', 'tap', 'always', 'win', 'too', 'id', 'also', 'suggest', 'coming', 'early', 'happy', 'hour', 'prices', 'rooms', 'fooddrinksreservations', 'highly', 'recommended']","['blast', 'friends', 'past', 'weekend']",1.0
"['lets', 'real', 'prefer', 'pandora', 'karaoke', 'bar', 'yamasho', 'day', 'heres', 'whyyamasho', 'doesnt', 'serve', 'hard', 'liquor', 'serve', 'beer', 'wine', 'saki', 'yamasho', 'doesnt', 'chill', 'vibe', 'pandora', 'yamasho', 'restaurant', 'upstairs', 'feel', 'like', 'more', 'wellbehaved', 'proper', 'yamasho', 'pandora', 'play', 'music', 'dance', 'anywhere', 'customer', 'service', 'yamasho', 'isnt', 'nice', 'accommodating', 'yes', 'friends', 'might', 'already', 'buzzed', 'but', 'group', 'us', 'werent', 'yet', 'still', 'rude', 'us', 'soberruzzed', 'folk', 'rude', 'karaoke', 'rooms', 'plainjane', 'yamasho', 'like', 'different', 'themed', 'rooms', 'pandora', 'plus', 'seem', 'cleaner', 'pandora', 'recent', 'visit', 'yamasho', 'last', 'weekend', 'probably', 'last', 'drunk', 'karaoke', 'needs', 'direct', 'pandora', 'tl']",['meh'],0.0
"['ac', 'blowing', 'directly', 'entire', 'time', 'bit', 'chilly', 'but', 'good', 'thing', 'brought', 'jacket', 'keep', 'warmi', 'love', 'ipad', 'key', 'song', 'requests', 'also', 'songs', 'searchable', 'within', 'ipad', 'much', 'more', 'efficient', 'plenty', 'songs', 'choose', 'nonenglish', 'songs', 'also', 'group', '6', 'ended', 'costing', '16', 'per', 'person', '25', 'hours', 'weeknight']","['came', 'karaoke', 'blast']",1.0
"['friends', 'daughter', 'karaoke', 'seemed', 'fine', 'ate', 'dinner', 'waited', 'service', 'good', 'food', 'well', 'bit', 'pricey', 'get', 'but', 'good']","['went', 'friends']",1.0
"['good', 'time', 'tucked', 'away', 'karaoke', 'rooms', 'downstairs', 'service', 'timely', 'rooms', 'pretty', 'nice', 'felt', 'like', 'actually', 'asia', 'reason', 'not', 'giving', 'place', '5', 'star', 'socks', 'werent', 'knocked', 'off', 'however', 'enjoy', 'service', 'experience']","['coworkers', 'booked', 'place', 'tuesday', 'night', 'karaoke', 'blast']",1.0
"['review', 'not', 'karaoke', 'cant', 'really', 'compare', 'another', 'placebut', 'service', 'place', 'terriblethe', 'wait', 'staff', 'incredibly', 'rude', 'would', 'think', 'nicer', 'guests', 'wanting', 'order', 'drinks', 'food', 'large', 'private', 'party', 'but', 'werent', 'host', 'instructed', 'us', 'purchase', 'food', 'downstairs', 'bring', 'thats', 'tried', 'told', 'rudely', 'no', 'party', 'points', 'upstairs', 'pay', 'one', 'check', 'but', 'way', 'harsh', 'tone', 'communicated', 'appeared', 'annoyed', 'almost', 'hostile', 'itso', 'apologized', 'placed', 'order', 'apologize', 'didnt', 'even', 'anything', 'wrong', 'still', 'ordered', 'food', 'giving', 'business', 'continued', 'treat', 'us', 'ruined', 'daywine', 'beer', 'served', 'cheap', 'scratched', 'foggy', 'looking', 'plastic', 'drink', 'ware', 'supposed', 'look', 'like', 'glass', 'but', 'clearly', 'not', 'really', 'tacky', 'cmon', 'buy', 'real', 'glasses', 'crying', 'loud', 'dont', 'cheapthen', 'food', 'mediocre', 'best', 'not', 'worth', 'price', 'plus', 'delivered', 'food', 'left', 'private', 'room', 'without', 'even', 'making', 'attempt', 'find', 'right', 'person', 'ordered', 'cant', 'find', 'one', 'good', 'reason', 'ever', 'return', 'customer', 'service', 'critical', 'restaurant', 'bc', 'hundreds', 'restaurants', 'sf', 'bay', 'area', 'unless', 'food', 'world', 'mind', 'blowing', 'could', 'maybe', 'get', 'away', 'dck', 'customers']","['first', 'not', 'karaoke', 'fan', 'but', 'came', 'private', 'party', 'upstairs']",0.0
"['looking', 'dinner', 'karaoke', 'luckily', 'yamasho', 'offers', 'made', 'day', 'reservation', 'party', '6', 'thursday', 'november', '19th', '8pm', 'opentable', 'dinner', 'portionwe', 'shared', 'house', 'hot', 'sake', 'shochikubai', 'junmai', '750', 'large', 'one', 'girlfriends', 'got', 'house', 'wine', 'red', '7', 'hot', 'sake', 'tea', 'paired', 'well', 'dinner', 'wine', 'wasnt', 'anything', 'impressive', 'decent', 'table', 'red24', 'gyoza', '57545', 'agedashi', 'tofu', '55055', 'ika', 'ring', 'fry', 'squid', '87563', 'ton', 'katsu', 'pork', '9the', 'apps', 'pretty', 'good', 'got', 'gyoza', 'came', '6', 'pieces', 'perfect', 'sharing', 'agedashi', 'tofu', 'crispy', 'broth', 'flavorful', 'ika', 'fry', 'good', 'but', 'piece', 'ate', 'didnt', 'stay', 'together', 'squid', 'separated', 'batter', 'first', 'bite', 'didnt', 'try', 'tonkotsu', 'cant', 'comment', 'also', 'ordered', 'miso', 'soup', '175', 'great', 'way', 'start', 'off', 'mealmy', 'dinner', 'consisted', 'bunch', 'nigiri', 'order', 'came', '2pcs', 'hamachi', 'yellowtail', '575', 'amaebi', 'sweet', 'shrimp', '8', 'ankimo', 'monkfish', '550', 'uni', 'sea', 'urchin', '850', 'love', 'went', 'ankimo', 'nigiri', 'cant', 'eat', 'whole', 'appetizer', 'portion', '2', 'pieces', 'perfect', 'piece', 'good', 'amount', 'ankimo', 'nice', 'creamy', 'also', 'enjoyed', 'hamachi', 'amp', 'uni', 'id', 'skip', 'amaebi', 'shrimp', 'didnt', 'really', 'much', 'flavor', 'bodies', 'didnt', 'sweetness', 'heads', 'bland', 'delicious', 'head', 'flavors', 'table', 'also', 'ordered', 'following', 'but', 'didnt', 'try', 'everyone', 'seemed', 'happy', 'meals', 'osaka', 'set', 'didnt', 'seem', 'geso', 'although', 'menu', 'description', 'instead', 'came', 'ebi', 'combination', 'dinners', 'salmon', 'teriyaki', 'amp', 'tempura', 'rice', 'soup', 'salad', '21', 'amp', 'chicken', 'teriyaki', 'amp', 'tempura', 'rice', 'soup', 'salad', '21rolls', 'tekka', 'tuna', '575', 'spider', 'soft', 'shell', 'crab', 'amp', 'avocado', '10', 'amp', 'dragon', 'shrimp', 'tempura', 'weel', 'amp', 'avocado', 'top', '1475osaka', 'set', '2350', '1', 'tekka', 'tuna', 'roll', '1pc', 'geso', 'squid', 'legs', 'salmon', 'roe', 'yellowtail', 'tuna', 'salmon', 'white', 'fish', 'eeli', 'lot', 'fun', 'karaoke', 'rooms', 'dinner', 'rented', 'yokohama', 'room', '39', 'per', 'hour', 'max', '8', 'people', 'also', 'order', 'food', 'drinks', 'room', 'got', 'yellow', 'tail', 'shiraz', 'australia', '8', 'glass', 'gf', 'another', 'hot', 'sake', 'share', 'downstairsi', 'love', 'private', 'rooms', 'more', 'fun', 'more', 'intimate', 'yamasho', 'offers', 'two', 'ways', 'select', 'songs', 'use', 'ipad', 'give', 'search', 'directory', 'use', 'books', 'yamasho', 'pretty', 'good', 'english', 'song', 'selection', 'but', 'friends', 'bummed', 'found', 'no', 'tagalog', 'songs', 'tried', 'using', 'ipad', 'search', 'chinese', 'songs', 'but', 'couldnt', 'figure', 'couldnt', 'punch', 'chinese', 'characters', 'want', 'sing', 'languages', 'suggest', 'grabbing', 'actual', 'booksi', 'believe', 'yamasho', 'prorates', 'room', 'nearest', 'minute', 'great', 'since', 'dont', 'worry', 'using', 'full', 'hour', 'go', 'next', 'hour', 'got', 'charged', '100', 'minutesgreat', 'place', 'karaoke', 'decent', 'place', 'japanese', 'food', 'id', 'give', 'restaurant', '3', 'stars', 'karaoke', '5']","['reunion', 'brought', 'yamasho']",1.0
"['ive', 'never', 'food', 'cant', 'speak', 'said', 'place', 'one', 'nicest', 'places', 'gathering', 'friends', 'karaoke', 'get', 'little', 'pricey', 'but', 'service', 'staff', 'excellent', 'rooms', 'nice', 'make', 'reservations', 'ahead', 'time', 'private', 'rooms', 'dont', 'share', 'strangers', 'rooms', 'varied', 'size', 'themed', 'rooms', 'clean', 'karaoke', 'equipment', 'modern', 'relatively', 'date', 'get', 'ipad', 'number', 'pad', 'tambourine', 'use', 'room', 'rock', 'pick', 'songs', 'selection', 'song', 'options', 'excellent', 'selections', 'always', 'date', 'dont', 'allow', 'outside', 'food', 'beverage', 'every', 'room', 'room', 'service', 'get', 'full', 'selection', 'food', 'drinks', 'restaurant', 'bar', 'sushi', 'japanese', 'bar', 'food', 'large', 'menu', 'though', 'cant', 'say', 'good', 'cause', 'ive', 'never', 'tried', 'bar', 'menu', 'typical', 'most', 'japanese', 'places', 'but', 'id', 'recommend', 'pitchers', 'sapporo', 'sake', 'open', 'till', '2am', 'always', 'great', 'option', 'urge', 'release', 'inner', 'rock', 'star']","['review', 'karaoke', 'part', 'place']",1.0
"['soon', 'seated', 'table', 'waiter', 'handed', 'us', 'steamed', 'towels', 'warm', 'hands', 'cool', 'sf', 'weather', 'nice', 'touchthe', 'sushi', 'amazing', 'ordered', '4', 'different', 'fishes', '2', 'pc', 'enjoyed', 'every', 'single', 'bite', 'kani', 'favorite', 'one', 'cant', 'find', 'better', 'place', 'serves', 'fresh', 'crabcome', 'wonderful', 'sushi', 'dinner', 'friends', 'sip', 'delicious', 'hot', 'green', 'tea', 'wait']","['couple', 'friends', 'came', 'dinner', 'friday', 'night', 'amazed', 'beautiful', 'interior', 'chill', 'setting']",1.0
"['everything', 'restaurant', 'amazing', 'staff', 'food', 'owner', 'karaoke', 'food', 'not', 'staff', 'friendly', 'super', 'nice', 'food', 'never', 'ever', 'fails', 'terms', 'taste', 'quality', 'theyve', 'got', 'much', 'selection', 'sushi', 'noodles', 'porridge', 'rice', 'theyre', 'also', 'open', 'really', 'late', 'thats', 'perk', 'whenever', 'crave', 'sushi', 'late', 'nightwill', 'continue', 'come', 'back', 'often']","['love', 'yamasho']",1.0
