outreview,outtitle,label
"['came', 'month', 'advance', 'wedding', 'needing', 'custom', 'shirt', 'decided', 'since', 'spent', 'much', 'tux', 'wedding', 'look', 'sharp', 'possible', 'not', 'get', 'off', 'rack', 'shirt', 'came', 'proper', 'cloth', 'looking', 'custom', 'tailored', 'shirt', 'made', 'appointment', 'ny', 'showroom', 'fitting', 'glenn', 'glenn', 'super', 'nice', 'insightful', 'answered', 'questions', 'helped', 'everything', 'needed', 'first', 'measured', 'showed', 'different', 'fabrics', 'gave', 'suggestions', 'one', 'feels', 'better', 'one', 'wear', 'temperature', 'scenario', 'would', 'perfect', 'gave', 'different', 'shirts', 'try', 'get', 'feel', 'fabric', 'fit', 'preference', 'finally', 'measured', 'sample', 'shirts', 'make', 'comments', 'adjustments', 'wanted', 'shirt', 'fit', 'ordered', 'shirt', 'right', 'showroom', 'exact', 'measurements', 'fitted', 'perfect', 'no', 'complaints', 'shirt', 'good', 'rightfast', 'forward', '2', 'weeks', 'later', 'shirt', 'arrives', 'sizing', 'completely', 'off', 'entirely', 'too', 'small', 'like', 'almost', 'childs', 'shirt', 'like', 'didnt', 'even', 'cut', 'shirt', 'based', 'measurements', 'fitting', 'like', 'someone', 'told', 'tailor', 'ok', 'make', 'small', 'shirt', 'stomach', 'area', 'tight', 'buttons', 'could', 'literally', 'pop', 'sat', 'arm', 'area', 'tight', 'cant', 'bend', 'arms', 'ive', 'compression', 'work', 'clothes', 'fit', 'looser', 'shirt', 'sleeves', 'also', 'too', 'short', 'point', 'wear', '2', 'large', 'gshock', 'watches', '1', 'arm', 'dont', 'understand', 'get', 'shirt', 'incorrect', 'exact', 'measurements', 'measured', 'staff', 'showroom', 'not', 'like', 'measured', 'makeshift', 'ruler', 'estimated', 'numbers', 'without', 'measuring', 'not', 'shirt', 'got', 'supposed', 'extra', 'wrinkle', 'resistant', 'but', 'guess', 'shirt', 'got', 'wrinkled', 'trying', 'contacted', 'proper', 'cloth', 'remake', 'shirt', 'but', 'told', 'would', 'take', 'additional', '23', 'weeks', 'not', 'arrive', 'time', 'wedding', 'heres', 'thought', 'messed', 'shirt', 'customer', 'expedite', 'remake', 'shirt', 'instead', 'taking', 'normal', '2', 'week', 'waiting', 'period', 'especially', 'proper', 'cloth', 'confident', 'perfect', 'fit', 'policy', 'first', 'fit', 'supposed', 'highly', 'accurate', 'without', 'correct', 'fitted', 'shirt', 'go', 'back', 'square', 'one', 'week', 'wedding', 'fitting', 'showroom', 'great', 'but', 'almost', 'didnt', 'go', 'fitting', 'based', 'shirt', 'received', 'off', 'large', 'margin', 'not', 'like', 'shirt', 'slightly', 'too', 'small', 'slightly', 'too', 'big', 'slight', 'adjustments', 'needed', 'made', 'certain', 'areas', 'wrong', 'areas', 'yes', 'proper', 'cloth', 'free', 'first', 'shirt', 'remake', 'but', 'extremely', 'pressed', 'time', 'point', 'first', 'fit', 'off', 'cant', 'imagine', 'second', 'fit', 'wouldve', 'worked', 'well', 'probably', 'needed', '34', 'fittings', 'get', 'right', 'absolutely', 'not', 'way', 'want', 'go', 'ordering', 'shirt', 'biggest', 'problem', 'besides', 'fact', 'shirts', 'not', 'made', 'according', 'measurements', 'profile', 'source', 'shirt', 'making', 'asia', 'turnaround', 'too', 'long', 'get', 'right', 'fit', 'would', 'not', 'recommend', 'anyone', 'go', 'custom', 'made', 'shirt', 'unless', 'least', '2', 'full', 'months', 'time', 'wait', 'adjust', 'refit', 'remake', 'shirt', 'times', 'get', 'right', 'not', 'mention', 'money', 'youd', 'wasting', 'shipping', 'time', 'youre', 'better', 'off', 'getting', 'shirt', 'off', 'rack', 'getting', 'tailored', 'going', 'actual', 'tailor', 'make', 'shirt', 'within', 'days']","['beg', 'stay', 'far', 'away', 'ordering', 'custom', 'shirt']",0
"['fit', 'too', 'large', 'went', 'back', 'said', 'shrink', 'asked', 'ten', 'washings', 'remeasure', 'resent', 'shirts', 'fit', 'still', 'not', 'right', 'contacted', 'said', 'wash', 'must', 'company', 'line', 'wash', 'wash', 'wash', 'bs', 'amount', 'people', 'purchase', 'shirts', 'hear', 'certain', 'throw', 'shirt', 'closet', 'never', 'wear', 'advice', 'pay', 'extra', 'go', 'qualified', 'tailor']","['purchased', 'shirts', 'first', 'visit']",0
"['stay', 'far', 'far', 'far', 'away', 'proper', 'cloth', 'one', 'worst', 'companies', 'done', 'business', 'ever', 'warned', 'incredibly', 'unprofessional', 'ruined', 'event', 'not', 'get', 'telephone', 'answering', 'machine', 'not', 'even', 'mention', 'company', 'total', 'schlock', 'shirts', 'made', 'malaysia', 'could', 'go', 'stay', 'away', 'not', 'san', 'fran', 'vermontsince', 'writing', 'tom', 'proper', 'cloth', 'amp', 'hour', 'long', 'conversation', 'offered', 'several', 'ways', 'proper', 'cloth', 'could', 'execute', 'much', 'higher', 'level', 'tom', 'good', 'listener', 'not', 'speak', 'whether', 'shifts', 'occurred', 'company', 'tom', 'refunded', 'money', 'complimentary', 'new', 'shirts', 'made', 'proper', 'cloth', 'needs', 'help', 'systems', 'somewhat', 'new', 'but', 'beginning', 'competition', 'market', 'see', 'either', 'step', 'die', 'time']","['sorry', 'say', 'experience', 'proper', 'cloth', 'become', 'complete', 'nightmare']",0
"['über', 'american', 'commercials', 'ads', 'made', 'ships', 'malaysia2', 'fabric', 'virtually', 'see', 'garbage', 'dont', 'wear', 'dress', 'shirts', 'see', 'not', 'club', 'wear']","['havent', 'even', 'tried', 'already', 'feel', 'deceived', 'ripped', 'off1']",0
[],"['great', 'product', 'great', 'fabricmy', 'go', 'website', 'dress', 'shirts', 'great', 'pricebut', 'yelp', 'garbage']",2
"['shirts', 'pricey', 'experience', 'shop', 'but', 'online', 'system', 'super', 'easy', 'navigate', 'work', 'also', 'booked', 'appointment', 'online', 'pro', 'tip', 'slots', 'work', 'weekends', 'book', 'fast', 'plenty', 'slots', 'but', 'go', 'fast', 'closed', 'sundays', 'also', 'arrived', 'saw', 'pretty', 'open', 'cool', 'working', 'space', 'front', 'half', 'clients', 'get', 'tailored', 'teh', 'backhalf', 'working', 'area', 'employees', 'covered', 'drape', 'plenty', 'samples', 'also', 'browse', 'couch', 'sit', 'wait', 'however', 'immediately', 'greeted', 'personal', 'tailor', 'offered', 'something', 'drink', 'nice', 'touch', 'guys', 'one', 'sat', 'table', 'briefly', 'discussed', 'goals', 'looking', 'fitpurposeetc', 'went', 'work', 'measuring', 'using', 'one', 'dress', 'shirts', 'took', 'ton', 'measurements', 'get', 'things', 'right', 'always', 'asking', 'felt', 'inputted', 'measurement', 'profile', 'fyi', 'created', 'profile', 'website', 'started', 'measuring', 'began', 'working', 'small', 'nuances', 'dress', 'shirt', 'want', 'take', 'quarter', 'inch', 'off', 'one', 'side', 'watch', 'come', 'kind', 'cuffs', 'buttons', 'want', 'many', 'kind', 'collar', 'want', 'btw', 'tons', 'choices', 'ask', 'professional', 'best', 'purpose', 'teh', 'overall', 'shirt', 'details', 'went', 'picking', 'color', 'scheme', 'fabric', 'went', '125', 'dollar', 'type', 'fabric', 'rather', '95', 'dollar', 'fabric', 'tailor', 'explained', 'better', 'fabric', 'better', 'overall', 'feel', 'more', 'suited', 'business', 'purposes', 'ton', 'color', 'schemes', 'check', 'website', 'amazed', 'ordering', 'dress', 'shirt', 'day', 'takes', 'full', 'two', 'weeks', 'make', 'ship', 'dont', 'worry', 'proper', 'cloth', 'email', 'item', 'shipped', 'taiwan', 'shipped', 'took', '2', 'days', 'arrive', 'overall', 'product', 'first', 'impression', 'came', 'really', 'fitted', 'box', 'presentation', 'immaculate', 'really', 'good', 'however', 'touched', 'teh', 'fabric', 'felt', 'really', 'cheap', 'not', 'impressed', 'fit', 'wasnt', 'great', 'also', 'really', 'tight', 'chest', 'however', 'proper', 'cloth', 'combats', 'allow', 'remakes', 'get', 'size', 'correct', 'freei', 'booked', '2nd', 'appointment', 'remake', 'brought', 'first', 'dress', 'shirt', 'talked', 'going', 'change', 'ordered', '2nd', 'shirt', 'aka', 'remake', 'came', 'welldone', 'got', 'right', '2nd', 'time', 'cost', 'nothing', 'overall', 'get', 'fully', 'customized', 'shirt', 'liking', 'but', 'fabric', 'not', 'good', 'especially', '125', 'dollar', 'one', '4', 'stars', 'experience', 'not', '5', 'stars', 'bc', 'fabric', 'no', 'good', 'tip', 'dress', 'shirts', 'not', 'wrinkle', 'free', 'non', 'iron', 'beware', 'non', 'issue', 'steam', 'dress', 'shirt', 'every', 'morning']","['proper', 'cloth', 'fully', 'customized', 'dress', 'shirt', 'site', 'shop', 'nyc']",2
"['used', 'mail', 'order', 'shirts', 'value', 'money', 'sizing', 'perfect', 'customer', 'service', 'great', 'know', 'want', 'deliver', 'easy', 'use', 'service', 'recommended']","['great', 'service']",2
"['experience', 'proper', 'cloth', 'say', 'ryan', 'took', 'pics', 'sent', 'tailored', 'shirt', 'lot', 'closer', 'realityhowever', 'wanted', 'shirt', 'holiday', 'party', 'time', 'reason', 'return', 'onlyother', 'think', 'not', 'tailor', 'front', 'nyc', 'store', 'hrs', 'away', 'great', 'job', 'customer', 'service', 'thing', 'cant', 'grasp', 'buy', 'robert', 'graham', 'designer', 'shirt', 'large', 'long', 'not', 'slim', 'fit', 'good', 'go']",['1st'],2
"['custom', 'long', 'sleeve', 'business', 'shirt', 'arrived', 'perfect', 'fit', 'measurements', 'submitted', 'thanks', 'online', 'instructional', 'videos', 'excellent', 'construction', 'happy', 'style', 'choices', 'fabric', 'hard', 'find', 'color', 'weight', 'best', 'delivered', 'door', '10', 'days', 'ordering', 'even', 'packaging', 'point', 'ill', 'back', 'more']","['color', 'fan']",2
"['100th', 'tailored', 'shirt', '1st', 'propercloth', 'far', 'one', 'worst', 'problems', '1', 'placket', 'no', 'reinforcement', 'topmost', 'button', 'undone', 'front', 'shirt', 'collapses', 'tailoring', '101', 'quite', 'remarkable', 'pc', 'guys', 'not', 'aware', 'even', 'basics', '2', 'collar', 'not', 'reinforced', 'either', 'waferthin', 'collar', 'maketh', 'not', 'shirt', 'collar', 'no', 'stiffness', 'flops', 'like', 'donkeys', 'ears', 'making', 'wearer', 'said', 'shirt', 'look', 'like', 'buffoon', 'collar', 'stays', 'steaming', 'pressing', 'etc', 'not', 'help', 'collar', 'construction', 'pathetic', 'overall', 'great', 'fit', 'ruined', 'due', 'subpar', 'placket', 'collar', 'construction', 'website', 'needs', 'updated', 'show', 'floppy', 'dogeared', 'collars', 'look', 'actual', 'people', 'rather', 'neatly', 'folded', 'pressed', 'solution', 'not', 'need', 'alteration', 'quality', 'control', 'problem', 'not', 'fitrelated', 'problemoutcome', 'low', 'likelihood', 'ordering', 'due', 'poor', 'workmanshipcustomer', 'service', 'excellent', 'following', 'but', 'becomes', 'rather', 'irrelevant', 'immaterial', 'pc', 'cannot', 'get', 'customized', 'product', 'right', 'first', 'place']","['terrible', 'workmanship', 'lack', 'attention', 'detail']",0
