outreview,outtitle,label
"['came', 'first', 'time', 'thought', 'fantastic', 'clothes', 'cheap', 'prices', 'something', 'everyone', 'clothes', 'shoes', 'baby', 'wear', 'home', 'goods', 'everything', 'able', 'find', 'couple', 'things', '50', 'great', 'quality', 'clothes', 'seems', 'little', 'less', 'standard', 'higher', 'end', 'store', 'but', 'see', 'clothes', 'work', 'bought', 'mostly', 'formalish', 'clothing', 'im', 'hoping', 'lasts']","['great', 'bargain', 'clothing', 'discount', 'store']",2
"['heres', 'hoping', 'open', 'locations', 'citiesthis', 'sprawling', 'department', 'store', 'many', 'options', 'women', 'men', 'children', 'even', 'nice', 'funky', 'homewares', 'came', 'friend', 'looking', 'nothing', 'particular', 'came', 'pair', 'silver', 'sandals', 'lovingly', 'refer', 'birkenots', 'camel', 'colored', 'mules', 'sunglasses', 'pearl', 'hooped', 'earrings', '35', 'great', 'option', 'fast', 'fashion', 'fun', 'trends', 'budget', 'friendly']","['glad', 'superstore', 'hopped', 'pond', 'london', 'states']",2
"['always', 'least', '50', 'employees', 'working', 'one', 'given', 'time', 'fairly', 'easy', 'find', 'someone', 'floors', 'question', 'said', '10', 'chance', 'youll', 'speaking', 'nice', 'worker', '90', 'chance', 'youll', 'talking', 'someone', 'hates', 'job', 'youve', 'forewarned', 'clothes', 'small', 'sizes', 'sell', 'first', 'almost', 'never', 'able', 'find', 'size', '0', '2', 'anything', 'takes', 'forever', 'lot', 'digging', 'however', 'size', '6', '8', 'field', 'day', 'sizes', 'always', 'fully', 'stockedi', 'come', 'pretty', 'regularly', 'accessories', 'make', 'awesome', 'birthday', 'presents', 'friends', 'today', 'got', 'large', 'gold', 'clutch', '7', 'keyring', '350', 'pair', 'warmest', 'socks', 'planet', '350', 'pompom', 'winter', 'hat', '6', 'would', 'definitely', 'recommend', 'store', 'stocking', 'stuffers', 'small', 'gifts', 'fourth', 'floor', 'hundreds', 'candles', 'choose', 'third', 'floor', 'too', 'many', 'purses', 'count', 'also', 'great', 'jewelry', 'selection', 'super', 'cheap', 'earrings', 'necklaces', 'bracelets', 'etcthe', 'checkout', 'process', 'stressful', 'usually', 'not', 'enough', 'registers', 'open', 'most', 'customers', 'easily', 'purchasing', '20', 'items', 'need', 'scanned', 'folded', 'placed', 'shopping', 'bag', 'plan', 'wait', 'least', '1015', 'minutes', 'line', 'another', '5', 'minutes', 'pay', 'agonizingly', 'slow', 'went', 'lunch', 'break', 'instantly', 'regretted', 'clock', 'go', 'different', 'time', 'time', 'spare']","['forever', '21', 'hampm', 'baby', 'would', 'primarkthe', 'prices', 'cheap', 'clothing', 'basic', 'cheap', 'quality', 'lot', 'solids', 'practical', 'pieces', 'ruin', 'couple', 'washes']",2
"['employee', 'couldnt', 'understand', 'woman', 'said', 'dont', 'understand', 'cant', 'help', 'couldnt', 'believe', 'said', 'customer', 'worst', 'customer', 'service', 'ever', 'witness', 'didnt', 'even', 'try', 'help', 'customer', 'many', 'ways', 'assist', 'somebody', 'even', 'dont', 'understand', 'lady', 'ended', 'going', 'another', 'employee', 'asked', 'help']","['looking', 'around', 'first', 'floor', 'noticed', 'older', 'woman', 'asking', 'employee', 'assistance']",0
"['town', 'concert', 'whole', 'day', 'fill', 'flight', 'next', 'evening', 'decided', 'id', 'stop', 'primark', 'im', 'glad', 'plus', 'size', 'woman', 'bit', 'iffy', 'entered', 'but', 'soon', 'found', 'no', 'need', 'no', 'trouble', 'finding', 'cute', 'clothing', 'prices', 'amazing', 'next', 'time', 'im', 'town', 'absolutely', 'back']","['love', 'store']",2
"['love', 'going', 'primark', 'london', 'excellent', 'selection', 'quality', 'clothing', 'low', 'cost', 'primark', 'good', 'selection', 'although', 'not', 'good', 'overseas', 'staff', 'nice', 'store', 'organized', 'clean', 'atmosphere', 'missing', 'though', 'seemed', 'bit', 'dead', 'think', 'play', 'music', 'stores']","['excited', 'find', 'primark', 'usa']",2
"['primark', 'big', 'believe', '3', '4', 'floors', 'price', 'affordable', 'left', 'bags', 'purchases', 'didnt', 'get', 'lot', 'assistance', 'staff', 'pretty', 'much', 'but', 'great', 'store', 'budget']","['heard', 'primark', 'youtube', 'visiting', 'boston', 'saw', 'store', 'rushed']",2
"['love', 'shopping', 'much', 'place', 'awesome', 'prices', 'inexpensive', 'clothes', 'good', 'quality', 'clothes', 'cute', 'got', '10', 'things', 'cost', '50', 'definitely', 'one', 'back', 'shop']","['ive', 'visiting', 'boston', 'lately', 'never', 'primark']",2
"['love', 'place', 'pretty', 'chilly', 'cold', 'day', 'boston', 'underdressed', 'im', 'town', 'didnt', 'pack', 'enough', 'clothing', 'trip', 'stopped', 'primark', 'hearing', 'much', 'rave', 'place', 'coworker', 'mine', 'must', 'say', 'place', 'amazing', 'able', 'find', 'comfortable', 'soft', 'hoodie', '9', 'most', 'beautiful', 'shade', 'beige', 'cream', 'bought', 'nail', 'kit', 'stuff', 'too', 'since', 'everything', 'affordable', 'thing', 'didnt', 'like', 'many', 'articles', 'clothing', 'thin', 'hoodie', 'however', 'good', 'thickness', 'steal', 'totally', 'recommend', 'place', 'everyone', 'theres', 'also', 'light', 'decor', 'walls', 'upon', 'entering', 'says', 'hello', 'boston', 'great', 'pictures']","['first', 'time', 'ever', 'primark']",2
"['like', 'clothes', 'location', 'fun', 'downtown', 'crossing', 'fun', 'day', 'trip', 'idea', 'inexpensive', 'lots', 'options', 'clothing', 'love', 'couches', 'different', 'parts', 'store', 'great', 'take', 'break', 'take', 'inventory', 'cart', 'since', 'easily', 'get', 'overwhelmed', 'heremy', 'complaint', 'came', 'weekend', 'day', 'summer', 'waited', 'line', 'get', 'fitting', 'room', 'half', 'hour', 'pretty', 'frustrating', 'but', 'knew', 'needed', 'try', 'clothes', 'bought', 'forced', 'wait']","['huge', 'multistory', 'store', 'something', 'store', 'almost', 'anyone']",2
"['think', 'hampm', 'but', 'way', 'more', 'inexpensivei', 'didnt', 'even', 'know', 'primark', 'states', 'little', 'less', 'year', 'ago', 'far', 'know', 'still', 'one', 'states', 'location', 'pretty', 'great', 'four', 'floors', '1st2nd3rd', 'womens', '3rd', 'also', 'mens', 'housebedroombathroom', 'stuff', '4th', 'kids', 'great', 'sized', 'store', 'most', 'times', 'gone', 'hasnt', 'too', 'crowded', 'but', 'know', 'sometimes', 'gets', 'extremely', 'crowdedthey', 'everything', 'besides', 'clothes', 'makeup', 'accessories', 'home', 'goods', 'suitcases', 'etc', 'prices', 'cant', 'beat', 'most', 'products', 'good', 'quality', 'would', 'say', 'overall', '45', 'quality', 'time', 'visit', 'boston', 'know', 'want', 'make', 'stop', 'primark', 'make', 'sure', 'leave', 'lots', 'room', 'suitcase', 'pservice', 'friendly', 'willing', 'help', 'whatever', 'need', 'area', 'sit', 'charge', 'phone', 'free', 'wifi', 'too', 'dressing', 'rooms', 'big', 'able', 'accommodate', 'many', 'people', 'oncecome', 'place', 'risk', 'expect', 'spend', 'time', 'money', 'not', 'much', 'money', 'since', 'everything', 'affordable', 'haha']","['absolutely', 'love', 'primark']",2
"['but', 'store', 'big', 'needs', 'more', 'associates', 'maintain']","['visited', 'primark', 'yes', 'clothes', 'cheaper', 'but', 'terms', 'quality', 'material', 'used', 'design', 'fabric', 'still', 'choose', 'uniqlo', 'primark', 'macys', 'dayyes', 'more', 'one', 'floor', 'no', 'surprise']",1
"['told', 'place', 'rather', 'cheap', 'but', 'comes', 'cheap', 'quality', 'well', 'sister', 'fiance', 'got', 'clothes', 'funeral', 'within', 'days', 'unraveling', 'not', 'bad', 'concept', 'but', 'want', 'something', 'wear', 'last', 'long', 'time', 'isnt', 'place']","['came', 'look', 'clothing', 'funeral', 'decided', 'peruse', 'since', 'im', 'town', 'days', 'dont', 'really', 'need', 'anything', 'pricey']",1
